,Date,Customer,SKU,Actual_Price,List_Price,Discount_Rate,Featured_SKU,Prediction
0,2023-11-09,9611,219029,327.0375,327.0375,0.0,0,54
1,2023-11-09,9611,222087,151.7625,226.575,0.33,0,183
2,2023-11-09,9611,320485,205.9125,205.9125,0.0,0,39
3,2023-11-09,9611,378934,205.9125,205.9125,0.0,0,29
4,2023-11-09,9611,222765,226.575,226.575,0.0,0,67
5,2023-11-09,9611,223245,190.95,190.95,0.0,0,73
6,2023-11-09,9611,223153,218.025,218.025,0.0,0,43
7,2023-11-09,9611,398721,533.6625,533.6625,0.0,0,1
8,2023-11-09,9611,245387,533.6625,533.6625,0.0,0,6
9,2023-11-09,9611,245338,533.6625,533.6625,0.0,0,22
10,2023-11-09,9611,600934,355.5375,454.575,0.22,1,80
11,2023-11-09,9611,547934,177.4125,177.4125,0.0,0,24
12,2023-11-09,9613,216418,106.1625,105.45,-0.01,0,348
13,2023-11-09,9613,216419,106.875,106.1625,-0.01,0,275
14,2023-11-09,9613,300021,106.1625,119.7,0.11,0,94
15,2023-11-09,9613,300291,112.575,184.5375,0.39,0,28
16,2023-11-09,9613,216425,117.5625,117.5625,0.0,0,81
17,2023-11-09,9613,216233,116.1375,132.525,0.12,0,128
18,2023-11-09,9613,217390,161.025,161.025,0.0,0,111
19,2023-11-09,9613,219009,213.75,213.75,0.0,0,108
20,2023-11-09,9613,219029,318.4875,318.4875,0.0,0,56
21,2023-11-09,9613,222087,151.05,220.875,0.32,0,167
22,2023-11-09,9613,320485,205.9125,205.9125,0.0,0,25
23,2023-11-09,9613,378934,205.9125,205.9125,0.0,0,20
24,2023-11-09,9613,222765,234.4125,234.4125,0.0,0,78
25,2023-11-09,9613,223245,180.975,205.2,0.12,0,102
26,2023-11-09,9613,223153,219.45,219.45,0.0,0,39
27,2023-11-09,9613,398721,533.6625,533.6625,0.0,0,1
28,2023-11-09,9613,245387,515.85,515.85,0.0,0,11
29,2023-11-09,9613,245338,533.6625,533.6625,0.0,0,19
30,2023-11-09,9613,547934,177.4125,177.4125,0.0,0,15
31,2023-11-09,9632,216418,69.1125,69.1125,0.0,0,25
32,2023-11-09,9632,216419,67.6875,67.6875,0.0,0,22
33,2023-11-09,9632,300021,68.4,68.4,0.0,0,-7
34,2023-11-09,9632,300291,107.5875,178.8375,0.4,0,-4
35,2023-11-09,9632,216425,113.2875,113.2875,0.0,0,25
36,2023-11-09,9632,216233,113.2875,113.2875,0.0,0,44
37,2023-11-09,9632,217390,166.725,166.725,0.0,0,38
38,2023-11-09,9632,219009,218.7375,218.7375,0.0,0,65
39,2023-11-09,9632,219029,295.6875,295.6875,0.0,0,24
40,2023-11-09,9632,222087,190.2375,223.725,0.15,0,71
41,2023-11-09,9632,320485,205.9125,205.9125,0.0,0,12
42,2023-11-09,9632,222765,205.2,205.2,0.0,0,35
43,2023-11-09,9632,223153,202.35,202.35,0.0,0,53
44,2023-11-09,9632,245338,453.15,453.15,0.0,0,12
45,2023-11-09,9680,216418,69.825,69.825,0.0,0,31
46,2023-11-09,9680,216419,69.825,69.825,0.0,0,33
47,2023-11-09,9680,216425,117.5625,117.5625,0.0,0,19
48,2023-11-09,9680,216233,115.425,115.425,0.0,0,33
49,2023-11-09,9680,217390,161.025,161.025,0.0,0,14
50,2023-11-09,9680,219009,215.8875,215.8875,0.0,0,47
51,2023-11-09,9680,219029,295.6875,295.6875,0.0,0,15
52,2023-11-09,9680,222087,168.15,223.725,0.25,0,30
53,2023-11-09,9680,222765,205.2,205.2,0.0,0,26
54,2023-11-09,9680,223245,148.2,205.9125,0.28,0,175
55,2023-11-09,9680,223153,206.625,202.35,-0.02,0,76
56,2023-11-09,9680,245387,469.5375,469.5375,0.0,0,5
57,2023-11-09,9680,245338,469.5375,469.5375,0.0,0,8
58,2023-11-09,9700,216418,104.025,104.025,0.0,0,-3
59,2023-11-09,9700,216233,119.7,119.7,0.0,0,17
60,2023-11-09,9700,219009,206.625,206.625,0.0,0,32
